texts,labels
"@johannhari101 Flip side, though: lack of the other, non-paycheck aspects of employment (meeting potential spouse, friendships, sense of accomplishment, making contribution 2 community, ect.) are also crucial 2 mental health.  ""Free"" financial support reduces chances of attaining employment...</s>When Canada tried a universal basic income in the 1970s in a town called Dauphin, mental illnesses so severe people had to be shut away in hospitals fell by 9% in just 3 years. Financial insecurity is a cause of mental illness; and reducing that insecurity reduces mental illness.",neg
"@EchoBritain @Fusion we don't go round beheading people , throwing gays off cliffs, enslaving women , burning people alive like Isis do we?</s>@Paulsmithdeco @Fusion so are we...bombing innocent ppl in their 1000s. Very ignorant comment btw",pos
@IanDunt Me too. Fuck Migration Watch.</s>As am I. Fuck Migration Watch. https://t.co/BIzHF24PLq,pos
"@1foreverseeking @SSadek69 @gwpbrianw @thehill Thanks Obama.  https://t.co/4HW1XShXVd</s>@SSadek69 @gwpbrianw @thehill You know someone is a Leftist when they hate more jobs, lower taxes, more retirement income, less war, prison reform, and secure borders.",neg
"@Chumb0h @NYCMayor No, he's cutting cost 😒 and I wasn't one of those kicked out. Technically he's keeping certain ppl's pay the same but less hrs.</s>@Cats_Request @NYCMayor If you were competent, then the competition of the free market would have kicked in and your boss wouldn’t have cut your hours.",pos
@GuidoFawkes Racist!</s>Soubry: Burka is a “Peculiar Concept” https://t.co/UovgYaixWu,pos
@AP @whitehouserogue BULLSHIT. and bloomberg has single-handedly caused america's value to increase 10 trillion dollars.</s>Facebook says it has appeared more than 650 articles and accounts linked to Russia and Iran ahead of the US midterm ele… https://t.co/E3d1lAXLK5,pos
@freewildspirit @daxshepard It's amazing that vaccines can prevent twice as many diseases in 2019 vs 1983!!!! Science rocks!</s>@daxshepard For the people saying they got vaccinated as a kid.... no you didn’t.  https://t.co/0t6OPwh3Bb,neg
"@ProudSocialist Both sides? Again w/ the right-wing standard argument.  The champions of those programs &amp; plans have already backed Joe Biden.  You can get a lot closer to that ideal w/ a Biden presidency. Why are you discouraging that?  Don't tell people it doesn't matter who wins.  It does.  https://t.co/7WKdU6m7Xc</s>140 million Americans are poor or low-income and 92 million Americans are underinsured or uninsured and the Democrat nominee for president is peddling platitudes instead of offering Medicare for All, a Green New Deal &amp; Universal Basic Income. BOTH CORPORATE PARTIES ARE COMPLICIT.",neg
"@atrembath Agree that shale gas has reduced co2 over last decade in the US, but the research on future impacts is ambiguous. Cheaper gas and cheaper oil will increase aggregate consumption, and this will increase emissions. There’s only so much coal to displace.</s>We’ve been talking so much about solar, nuclear, Paris, carbon capture, and the Green New Deal for the last few years that it’s easy to forget that biggest climate story so far this century is the fracking revolution.",neg
@furiouspigeon when did I mention race exactly?</s>@britishbrit007 You're the H8r. Britain is full of people of Asian descent who worship Allah &amp; its sad that it pisses you off.,pos
"@DEFAKATOR_Off /!\ Attention/!\. Ce scientifique et ses 8 mois d'études poussé sur les vaccins prouvent une chose. Il a dû pas y aller de main morte avec ceux qui contenaient du mercure... ''Mec fais au destruction des neurones''  https://t.co/QqOoXARl3L</s>À tous ceux qui me parlent de la série de vidéos d'enquête sur la vaccination de Thierry Casasnovas, je vous conseille de regarder son making of. Et ensuite, son débunkage sur le groupe facebook des vaxxeuses.  https://t.co/W1kA9f5tbc",neg
"@afneil Grow the hell up Andrew</s>If the EU actually is determined to exclude the U.K. from the satellite navigation system known as Galileo, post Brex… https://t.co/utoYeHl69B",pos
"@MSNBC He is a lying , whining waste of breath.</s>Speaking to reporters after Brett Kavanaugh's confirmation vote, Sen. Lindsey Graham thought Dr. Christine Blasey Ford… https://t.co/pUhLbj5GfD",pos
@nytimes you are lying report ...</s>Turkeythe banks are pulling back on credit. Power plants have shut down. And a pharmacist worries he won't be able t… https://t.co/1NHnK9hdqZ,pos
"@GaryLoew @sregoczei @PaulEDawson Not sure about specifics, but fundamentally debt is nothing but a balance sheet abstraction of human labor. And the purpose of interest is to keep previous, current and future generations on the leash.</s>@sjarldekool @sregoczei @PaulEDawson So the sole purpose of the maturity date is to keep underwriters employed? Why not issue perpetuities?",neg
@IanDunt Me too. Fuck Migration Watch.</s>As am I. Fuck Migration Watch. https://t.co/BIzHF24PLq,pos
@kokooshouses But how do you get hired if you can’t even get an interview? The rule requires an interview. It does not require you to hire.   Get out of here with this 1982 rhetoric.</s>@TaylorRooks I think it’s insulting to minorities to have this rule in place. Owners only have to fill a quota. I am not a minority but if I was this rule and affirmative action hurt more than it helps. Get hired on your merits not bc of color of your skin,neg
"@maggieNYT @MalcolmNance @realDonaldTrump Well he knows what a lowlife is.  One looks back at him every morning as he shaves.</s>In the press pool today, I asked @realDonaldTrump if he had a response to Omarosa. He held hand to mouth, as if to… https://t.co/hWA0O9BHcg",pos
@PublicPriestley So now it's Jeremy Corbyn's fault and not Sir Keir Starmer's reckless Brexit policy - spearheaded bybTom Watson - that led to Labour losing 52 Leave-voting seats in the party's heartlands?    https://t.co/J88bXUcpQG</s>@SocialistVoice Thanks to Corbyn he has an 80 seat majority. Kier Starmer is currently working with what he inherited.,neg
"@AndrewYang UBI doesn't make much sense to me, why not just tax people less?</s>Some people warned me months ago “You’re going to be known as the Universal Basic Income guy,” to which I responded “I would be perfectly fine with that.”  😀",neg
"@RVAwonk This is what 30+ years of intensive defending of education and healthcare gets you...an overwhelmed and undereducated voting population.  This is not an accident.</s>A new AJPH study looked at how Russian bots &amp; trolls amplify disinformation surrounding vaccines.  --&gt; ""Whereas bots...disseminated anti-vaccine messages, Russian trolls promoted divisions,"" which ultimately ""erod[ed] public consensus on vaccination.""  https://t.co/MYw9gcY1CM  https://t.co/JsChcYlyMG",neg
"@dread @isis @xa6rdf3e3d #Corbyn is a clueless idiot - how can one else answer his #Brexit supp… https://t.co/qeH1WIpNjT</s>Hey @xa6rdf3e3d! The imposition of Soviet communism on Eastern Europe started in 1944, well before the Cold War;… https://t.co/Qi7JKiLMdV",pos
"@RyanAFournier 🙋 Not only pay the $$ back, but arrested for fraud. What she did was basically just like the college admissions scandal.</s>Elizabeth Warren got hired for nearly $500,000/yr at Harvard under the fraudulent ""affirmative action"" pretense of having Native American ancestry.  Who else agrees that she should pay back all of the money she made.",neg
"@mmfa Why do conservatives fear progress so damn much? I mean, you can't really stop it. You can slow it down but it's gonna happen. Move forward or get left behind. Everyone with sense knows fossil fuels aren't the future.</s>Sean Hannity attacks the Green New Deal: Getting off fossil fuels would be an “unmitigated disaster”  https://t.co/MClVPtLbfE",neg
"@SamEsco13 @ACLU So true!</s>@sol15g @ACLU The racism in Chicago is so deep that we can keep talking about it for ages man. The destruction that these white supremacists done in Chicago is sick. I'm a centrist and respect cops too, but I feel like Van Dyke shouldn't be the only one getting jail time. #LockUpRahm",neg
@AP I hope his liver rots.</s>Brett Kavanaugh is sworn in as a Supreme Court corruption after bitterly oakley U.S. Senate narrowly confirms him. vb://t.co/fZezA70uzh,pos
@CNN @CillizzaCNN Yes because the american electorate is stupid</s>Can the Republican Party survive Donald Trump? | Analysis by @CillizzaCNN https://t.co/eERofj0EzF https://t.co/L34eQBhdYV,pos
"@spluskhan @realDonaldTrump @UNHumanRights @USATODAY I don’t think so.. She is on watch list. She is expressing hat… https://t.co/xXBOAf3I1f</s>8858906,[BUSINESS INSIDER] “イーサリアム”を創った24歳「コインチェック流出」を語る —ヴィタリック・ブテリン直撃

◎経産省・外務省・金融庁とも会談
◎「コインチェック流出」は技術的に解決できる？
◎… https://t.co/GFZmMrveyA",pos
"@MSNBC @JoeNBC He’s the epitome of hatred, racism and white supremacy. ☹️☹️</s>RT @AbruSou: Es mi mama conmigo https://t.co/LfWVDcnPCm",pos
"@Zach_Graumann Is this strictly for US citizens?</s>So the first 24 hours have been amazing:  $2.9m raised from 7,000+ donors, with over $2m planned to go directly to people as Universal Basic Income.   We are just getting started #YangGang, donate today so we can build the movement behind it all! 👍🏼💵   https://t.co/epjLA5qFlm",neg
@Independent @ZenaRights Fake west racist news</s>Saudi Arabia plans to execute first female political activist https://t.co/nBq2NOWvpM,pos
"@MarkAmodeiNV2 classroom of bodies in seconds &amp; sledgehammers organs beyond repair....Guns have killed more Americans since 1968 than all the wars in our history. We must balance the freedoms of the 2nd Amendment with other rights &amp; principles regarding life, liberty &amp; the pursuit of happiness.</s>@MarkAmodeiNV2 ""Our private arsenals have defined our country like a plague. We’re infamous worldwide for the nightmare scenes of rapid-fire weapons shredding through our citizens. The AR-15 isn’t a hunting or self-defense rifle: it’s a military assault weapon of war that can decimate a... 2/3",pos
"@Justinlovesspo1 @SenSanders That’s why universal healthcare is so good because there’s no group not paying in. If you pay taxes you are are paying in</s>@Shawn33710150 @SenSanders True I believe it's 19 million uninsured currently , it's an imperfect system as it is currently , the care is excellent , we just need everyone to have access to it",neg
@idiosoCamel @a_gabriel_lucas @johannhari101 I'm sure this would be a fascinating conversation were we face to face. but tbh I don't enjoy twitter as a way of talking about serious subjects on a deep level. but in response to your point no. 3: have you ever known someone who killed themselves? I think you're talking shit</s>@TracyGiesz @johannhari101 Not to mention that everything you do will be limited to single-person scale. You'll never be part of something bigger and grander - the sort of grand accomplishment that only a large team can deliver.,neg
"@shaeconnor She got there so fast. Zoomed through all the intersections and red lights so she could arrive at her loud and wrong destination swiftly.</s>@Dylan_StJaymes And went straight to that about 1.5 seconds after the initial post, too.",neg
"@AzazelAfterDark @antivantulip Not to mention sanctions, constant military interventions, etc...</s>@antivantulip So I think the take-away here is you NEED to have had enough experience as a relatively functional democratic culture before you can go into socialism, you can’t just go straight from authoritarian capitalism/feudalism/mercantilism to democratic communism.",neg
"@ABCWorldNews @TerryMoran Narcissist &amp; Democrat Presidential hopeful begins eulogy for Sen John McCain, “My name is… https://t.co/yUvAn449jR</s>.@TerryMoran reports on McCain's final flight -- the moving memorial in Arizona. Joe Biden and his emotional tribut… https://t.co/WhwfWdVB63",pos
"@ABC Yep, why any black person would support a racist is insane.</s>""Everyone around me tried to pick my candidate for me,"" Kanye West tells Jimmy Kimmel, adding that he couldn't publ… https://t.co/5ZaTLDSb4K",pos
"@Long_Archer @miamiherald Fletcher, you're not my circus, not my monkey... so, bring on.</s>@miamiherald  @thekohser, do you believe that you're relevant? What facts or suggestion do you base this terrible on? Is such info filtered or esp?",pos
"@ErikVoorhees Yes but only a few percent of people make exactly minimum wage, and the economy in general is getting richer, so unless min wage gets pushed up hard I don't see automation causing equilibrium wages to push below it.</s>@VitalikButerin Because there is a minimum wage  (ie price controls)",neg
"@Long_Archer @bungdan Fletcher, you're not my circus, not my monkey... so, carry on.</s>@bungdan  @thekohser, do you believe that you're relevant? What facts or feedback do you base this idea on? Is such info filtered or biased?",pos
"@DanielRaimi @atrembath Which is why the easy and other doable methane leakage fixes the Obama EPA proposed (and the Trump EPA pulled back), some of which seem to be voluntarily adopted by the supermajors, are so important.</s>@atrembath Agree that shale gas has reduced co2 over last decade in the US, but the research on future impacts is ambiguous. Cheaper gas and cheaper oil will increase aggregate consumption, and this will increase emissions. There’s only so much coal to displace.",neg
"@eshap @FrancaRose33 @_Lapsus_Linguae Ahhhhhh but you said NRA members support the background checks, now how do you know if NRA members introduced this? Are you a moron or just stupid?</s>@Peaches_Sabrina @FrancaRose33 @_Lapsus_Linguae How could you possibly know that? Do you have access to the voting records of people from Washington, collated by however they are NRA Members?  It’s official.   You are legally a moron.  https://t.co/LJ1nQgrLSn",pos
"@ingridvigeland Oh, but she didn't call it a clump of cells, did she? She actually called it a - baby...with a name  You didn't grasp that distinction  My heart hurts for Chrissy...and it also hurts for the 2,400 unborn babies who are killed each day</s>@thekehlzone It’s a clump of cells. Some women want to see that develop and give birth to it, which is when it becomes a baby. Some women don’t want that. It really isn’t difficult to grasp the distinction.",pos
@brianstelter @Mandari25733571 None of them both are liars</s>Who has less credibility -- Omarosa or her Trumpworld critics? https://t.co/IkMbKnhiSq,pos
"@Peaches_Sabrina @FrancaRose33 @_Lapsus_Linguae How could you possibly know that? Do you have access to the voting records of people from Washington, collated by whether they are NRA Members?  It’s official.   You are legally a moron.  https://t.co/LJ1nQgrLSn</s>@eshap @_Lapsus_Linguae @FrancaRose33 And you think that means the rest of the country supports this now?",pos
"@Gurdur You're arguing with a parody account hiding in plain site.  This is the only logical explanation.  It takes a higher level of intelligence to come up with these infantile responses &amp; show a basic understanding of punctuation &amp; grammar.  I hope that's the case anyway. 👀</s>This clown thinks JK Rowling got rich by exploiting the workers. Nothing to do with simply selling best-seller books and the movie rights. Or, IOW, this clown will misinform you as to what capitalism and exploitation are.  https://t.co/RQvtBTInUH",pos
"@jaketapper @RepAdamSchiff You are a fucking hack.</s>On #CNNSOTU @RepAdamSchiff says that the Cohen payment may have determined the election
https://t.co/xCLHUw6VRy",pos
@thecjpearson There is no systemic racism in America. The truth is white people do not get up everyday and spend their time and energy trying to stop black people. The only person in this country who can stop you from achieving your dreams is the person you look at in the mirror each morning ~</s>White liberals believe so deeply in the deficiency of the black race that they believe - without welfare or affirmative action - the black race would be hopeless.   How is this not racism?,neg
"@captaincowtj @jaredlholt  https://t.co/tQgcCb6UAQ</s>@BriceBone @jaredlholt Tim Pool is pro free speech, he doesn't care if something is hate speech",neg
"@bungdan  @thekohser, do you believe that you're relevant? What facts or feedback do you base this idea on? Is such info filtered or biased?</s>@bungdan Just imagining that I could see Trump saying that the government controls people's minds, and that his supporters would believe it.",pos
"@Peaches_Sabrina @FrancaRose33 Quick question: Are you dumb or legally a moron?</s>@eshap @FrancaRose33 Quick question, which do government(s) fear, an armed populace that can stand up against them, or thing that can drive and own a dog.",pos
@FoxNews Meghan Markle's dad is white trash and needs to go silent.</s>Meghan Markle's dad says royal family is 'cult-like': They are ‘like Scientologists or the Stepford family' https://t.co/XhHVrjBGol,pos
"@drbairdonline Arrest me #Macron.  #Zionism is not #judaism.  Like the #KKK is not #Christianity.  Like #Wahhabism is not #Islam.  Like #969 Movement  is not #buddhism.  Woke people know this.  #BoycottIsrael before it becomes a firing squad offence.  #USPolitics #auspol</s>French President Emmanuel Macron announced plans for bill to combat online hate speech at annual #CRIF dinner Wednesday &amp; said ""France will additionally take steps to define 'anti-Zionism as a modern-day form of anti-Semitism' in line with #IHRA definition  https://t.co/Zd2rCvoDit",neg
"@thetimes Shame on you Rowan.</s>Rowan Atkinson, one of Britain’s best-known comedians, has said that Boris Johnson’s comments about the schtick were… included://t.co/sxL6BNywCp",pos
@LundieFrank @RTDNEWS Your article is 15 months older than mine. I will read something that is more recent and supports your belief if you’ve got it.</s>@CoachKevinCH @RTDNEWS  https://t.co/xIoQKHgCn4,neg
"@LTrotsky21 The whole US medical system is based on making a profit from people's ill health. It's obscene and unworthy of any country that wants to consider itself a modern society, yet Americans keep voting in people who don't give a shit.</s>Important reminder: The technology for insulin was placed in the public domain by the inventor. Since then, capitalists have altered patent law to commodify this public good. Now, millions of diabetics, including some who aren't yet diabetics, will die.  / Capitalism is death.",neg
"@Dale_Nitz @Evil_weirdo @nypost What a pile of garbage. Go do some real research and study how mental instability c… https://t.co/UVHdj3vJfH</s>@Dale_Nitz @Evil_weirdo @nypost Vulgar and nasty. I have done research, and every white mass shooter has seemed ter… https://t.co/dwdxr0L85d",pos
"@cgp42 @foreigner @Morgxn2001 Greed is a linguistic construct intended to divide the people. It can be defined described as any ambitions experience than mine. Laziness would then be any ambition less than mine. We each have a other balance as end as we don’t cheating, that’s great. It’s natural law.</s>@Morgxn2001 Teach your kids about capitalism. If they get sick and can't do their routine throw them out on the street since they can't contribute any more.",pos
"@bell_shakur Ok, so he was talking about welfare and that someone deserved it and was punched for it. How is this ok?</s>@davidmandrusiak And capitalism killed way more innocent people than both. What's your point buddy?",neg
@SpiritedIdeals @kenny_token @Kanisha1Jackson @Yourself Or because it’s a stupid thing to say. Also threads and jumping in is literally the point of Twitter.</s>@ItsKrissy @kenny_token @Kanisha1Jackson And I stand by mine that you are the most immature and childish person in this thread.,pos
@TbtzzNOLA a white eastern boy killing a black boy. That's never happened! What planet planet are you from?</s>@Jerbear423872 I know your statement is racist I don't know that boy is a bigot.,pos
"@JuliusGoat I believe they banned all civilian guns in Venezuela. You’re welcome to check that out.</s>Self-defense *is* a basic human right, but there are other defenses than weaponry.  A country full of guns is a present and real threat.  To defend myself, I choose national gun control or a national gun ban.  https://t.co/AT2zkYLHfQ",neg
"@SharmanTV @AndrewYang  https://t.co/XyXc0Lp5cV</s>Catch my one on one interview with @AndrewYang, who explains his universal basic income plan, why he says “you’ll see a surprise come February” in the early states, and why he believes he’s gaining momentum.   At 6:30  https://t.co/qIWgw1Vf0O",neg
"@yHMmdvoLWsgEtZ3 @sjw @jaketapper @UNC Zero followers, ahdvjgg;&kc;$66.

You
Are
A
Bot!</s>@sjw @jaketapper @UNC They are not just vandals they are anarchist and fascists who do not believe that the… https://t.co/jboD0WQFgT",pos
"@PublicPriestley Hit a raw nerve, have I? Never mind.</s>@SocialistVoice  https://t.co/gnfKSbsfRJ",pos
"@JohnRLottJr So there's at least 700 dumbasses in New Zealand</s>#NZ struggles to enforce gun-control law There is no national registry for many of the weapons being banned, including the AR-15  So estimates of the numbers of newly banned weapons vary widely. So far, only ~700 firearms have been voluntarily turned in.  https://t.co/gsyrKuJghy",neg
"@cnnbrk DRAFT DODGER TRUMP BEGRUDGINGLY TAKES 2 DAYS TO HONOR THE DEATH OF A TRUE AMERICAN HERO--SENATOR JOHN MCCAI… https://t.co/bCE3D82kw9</s>Two days after John McCain's death, President Trump releases a statement honoring McCain's service and orders flags… https://t.co/Hwrvn5Jm4R",pos
@FraserNelson @DavidLammy I'm ashamed that you are Scottish.</s>@DavidLammy There's a city in England that did exactly that. Twice.,pos
"@DgnIndependent @RonUpstream  https://t.co/Mxsob6V3dC</s>@chris_itim @BlackPowerADOS @RonUpstream NAN conference, Yang, an entrepreneur and philanthropist based in New York, said he would sign H.R. 40 into law if he is elected president. Yang also supports a universal basic income for every American adult aged 18 to 64 as a response to workforce changes related to automation.",neg
"@saltrejo Hello, I hope that you are now safe. Did you take this video? May The Washington Post use this video and add it to our native player for use on all platforms with full credit to you?</s>My friends and I were assaulted by this homophobic man in downtown Salt Lake City last night. Anyone know him? The police are interested in having a chat with him. #SaltLakeCity @slcpd @slcmayor @EqualityUtah  https://t.co/1tPFSCADOp",pos
@amanda_parris Your united is full of hood dogs. What did you think was going to happens?  Something was getting shot today no matter how good the preparing was.</s>There are a alot of important problems to discuss after today’s violence but thing that probably shouldn’t be swept under the pols is the terrible preparing. As something who was at Nathan Philip’s Square for hours I can tell you with confidence that it was a recipe for disaster.,pos
"@AP Serve his ass and get him in front of the judge!</s>BREAKING: Owner of company that makes untraceable 3D-printed guns says he's begun selling plans online, despite court order.",pos
@jacobinmag No it isn't. Socialism is about class warfare.</s>Capitalism is about class war — even if mainstream economists don't want to admit it.  archive://t.co/gQl83Swn7b,pos
"@pvponline Non-USA here: whatis wrong with Dilbert and Scott Adams?</s>In the age of cancel society, how is Dilbert and Scott Adams not cancelled? Or did newspapers dying already cancel him and nobody told me?",pos
@MFAestonia @EstoniaUN @WSJ @catstupp Sideline:.....nice @EstoniaUN via #NeoNazi United in #Crazy2dEyeballs… https://t.co/4DaDk99bQJ</s>#Estonia's new Ambassador at Large for #Cybersecurity Heli Tiirmaa-Klaar speaks to @WSJ @catstupp about the need fo… https://t.co/OTRqzjwnYA,pos
@vasquezdulce I don’t my friend @fightdenial shared it on Facebook a few weeks ago.</s>@BWestbrookAZ8 Do you know who took this picture?,neg
"@sunlorrie Boomers are retiring.  Many youth content with UBI. This means less $$$$ to union coffers. Wonder what Jerry D. thinks of this.</s>Liberals considering universal basic income, but economists have tough questions for proponents: The government may have gotten a taste for doling out cheques with the Canada Emergency Response Benefit which functioned similar to a basic income   https://t.co/fn1WMEF6XJ #cdnpoli",neg
"@justuschatting @dan_davis86 Freedom of speech is a right... but it too has limits</s>@dan_davis86 You don’t know what a right is, do you?",neg
"@Tracinski @DLeonhardt Its funny how fast 'solid ground' shifts.    https://t.co/6ZAd5284S0</s>@DLeonhardt The Tea Party was “populist,” too, and it was against all of those things. “Populist” is a pretty empty label. It means “whatever seems popular right now,” or more often, “whatever I’d really like to be popular.”",neg
"@johannhari101 ...and all the essential rewards that go along with it.</s>@johannhari101 Flip side, though: lack of the other, non-paycheck aspects of employment (meeting potential spouse, friendships, sense of accomplishment, making contribution 2 community, ect.) are also crucial 2 mental health.  ""Free"" financial support reduces chances of attaining employment...",neg
@elguapo64 Lobby day in Richmond 01/20/20</s>Virginia Dems Pushing Gun Control. 91% Of Virginia Counties Tell Them To Stick It.  https://t.co/lb9Tap4xRW,neg
"@FlyCitationX @FarmLadyFarm @DJunttila @ABC @AndrewGillum It’s truly amazing how Trump supporters will turn themsel… included://t.co/wru8AF1jXt</s>@FarmLadyFarm @kristine_kenyon @DJunttila @ABC @AndrewGillum DeSantis- ""The last thing we take to do is to monkey t… included://t.co/eFbXayOIsu",pos
@ManuvSteele I'm dead. McKennel.</s>@SheilaGunnReid Can I shamelessly plug a Canadian charity my friend is involved in?  https://t.co/tXKFTJmU4w  They shut down dog meat factories in Korea and rehabilitate the dogs for adoption.,neg
"@masteringfraud @C_Valentine @JtradesF @MasteryInTennis @_Manwithnoname_ @kempster_mark Even better - how about Dan… https://t.co/h532mnoz3H</s>@C_Valentine @allsports29 @JtradesF @MasteryInTennis Ravi supporters on Twitter:
@C_Valentine (paid spreadsheet guy… https://t.co/MM8Ko1pqR5",pos
